id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41042141,Charme Lumineux Piscine Plage Golf St Jean de LuzE,299185555,Isabelle,Hendaye,Ciboure,43.38138,-1.66245,Entire home/apt,70,4,6,2023-09-25,0.17,3,219,3,6418900010481
39751405,Studio with ocean view near Miramar beach,305516145,Jean-Louis,Biarritz,Biarritz,43.487991,-1.554116,Entire home/apt,82,2,81,2023-12-05,1.57,1,350,12,64122172133VM
41043794,Imperial Apartment in the center of Biarritz,181036617,Keyweek,Biarritz,Biarritz,43.48367,-1.55816,Entire home/apt,178,2,5,2023-10-16,0.10,13,248,1,6412200492733
41087281,"Apartment Hendaye, 1 bedroom, 4 pers.",133059316,Agence Poplidays 5,Hendaye,Hendaye,43.37009,-1.75251,Entire home/apt,250,1,2,2023-08-26,0.11,87,364,1,64260000137F2
41109609,Studio Pays basque proche Espelette/ Cambo-les B.,114310443,Emilie,Espelette,Itxassou,43.32948,-1.39754,Entire home/apt,35,6,12,2024-03-03,0.27,3,286,3,
39764721,Nouveaute Chaleureux T3   Parking   Ocean,305650030,Françoise,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.40147,-1.65389,Entire home/apt,100,1,23,2023-08-06,0.52,1,72,3,644830012397F
39789319,St Joseph avec les clés de luz,15224727,Conciergerie Privée,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.389851,-1.660689,Entire home/apt,160,2,14,2023-09-19,0.27,44,300,5,64483001251C7
39795682,Joli studio bord de mer,3574694,Thierry,Hendaye,Hendaye,43.37253189086914,-1.7753759622573853,Entire home/apt,80,5,66,2023-11-12,1.24,2,232,16,6426000114037
39796421,Tres beau T2 dans le centre de Cambo les bains,37301567,Remi,Espelette,Cambo-les-Bains,43.35477,-1.39676,Entire home/apt,75,7,3,2023-07-22,0.09,2,248,1,
41122188,Agréable T2 tout confort avec terrasse et parking,160711881,Celine,Hendaye,Hendaye,43.35857,-1.77224,Entire home/apt,66,2,113,2024-03-18,2.48,15,341,25,642600003105A
41123203,Biarritz - T2 - Parc - Piscine - Salle de sports,29319463,Grégoire,Anglet,Anglet,43.476,-1.53042,Entire home/apt,55,3,35,2024-01-02,0.75,1,49,11,64024001446F9
39798088,Bel appartement avec grande terrasse et jardin,90400304,Charlotte,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.39585,-1.6462,Entire home/apt,130,3,62,2023-12-26,1.19,1,42,15,644830002425F
